,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year
243,15,0,0,0,3,0,2,0,5,7742,GTB,6,2008
244,18,0,0,0,0,0,0,0,0,7742,GTB,6,2008
245,22,0,0,0,0,0,0,0,0,7742,GTB,6,2008
246,33,0,0,0,0,0,0,0,0,7742,GTB,6,2008
247,Total,0,0,0,3,0,2,0,5,7742,GTB,6,2008
248,3,13,8,0,0,0,0,0,21,746,GTB,7,2016
249,4,16,51,4,2,5,0,0,78,746,GTB,7,2016
250,12,0,0,0,0,0,0,0,0,746,GTB,7,2016
251,15,0,2,0,1,3,1,0,7,746,GTB,7,2016
252,18,0,0,0,0,0,0,0,0,746,GTB,7,2016
253,22,1,0,0,0,0,1,0,2,746,GTB,7,2016
254,33,0,0,0,0,0,0,0,0,746,GTB,7,2016
255,Total,30,61,4,3,8,2,0,108,746,GTB,7,2016
256,3,2,2,0,0,1,0,0,5,754,GTB,7,2011
257,4,14,91,0,12,49,0,2,168,754,GTB,7,2011
258,12,0,2,0,3,3,0,1,9,754,GTB,7,2011
259,15,0,22,0,15,23,0,2,62,754,GTB,7,2011
260,18,0,3,0,2,2,0,0,7,754,GTB,7,2011
261,22,0,0,0,1,2,0,0,3,754,GTB,7,2011
262,33,0,1,0,0,0,0,15,16,754,GTB,7,2011
263,Total,16,121,0,33,80,0,20,270,754,GTB,7,2011
264,3,0,1,0,0,1,0,0,2,7615,GTB,7,1994
265,4,0,112,27,9,13,5,0,166,7615,GTB,7,1994
266,12,0,2,4,5,2,7,0,20,7615,GTB,7,1994
267,15,0,5,9,12,5,10,0,41,7615,GTB,7,1994
268,18,0,0,1,2,3,2,0,8,7615,GTB,7,1994
269,22,0,0,0,1,0,2,0,3,7615,GTB,7,1994
270,33,0,0,0,0,0,0,2,2,7615,GTB,7,1994
271,Total,0,120,41,29,24,26,2,242,7615,GTB,7,1994
272,3,0,0,0,0,0,0,0,0,755,GTB,6,2021
273,4,5,82,6,8,0,1,0,102,755,GTB,6,2021
274,12,0,0,1,1,0,0,0,2,755,GTB,6,2021
275,15,1,11,7,16,0,2,0,37,755,GTB,6,2021
276,18,0,1,0,7,0,0,0,8,755,GTB,6,2021
277,22,0,0,0,2,0,3,0,5,755,GTB,6,2021
278,33,1,1,1,0,0,1,1,5,755,GTB,6,2021
279,Total,7,95,15,34,0,7,1,159,755,GTB,6,2021
280,3,0,0,0,0,0,0,0,0,773,GTB,7,1989
281,4,0,4,0,1,0,0,0,5,773,GTB,7,1989
282,12,0,1,0,0,0,0,0,1,773,GTB,7,1989
283,15,0,3,0,7,4,0,0,14,773,GTB,7,1989
284,18,0,0,0,0,0,0,0,0,773,GTB,7,1989
285,22,0,0,0,0,0,0,0,0,773,GTB,7,1989
286,33,0,0,0,0,0,0,0,0,773,GTB,7,1989
287,Total,0,8,0,8,4,0,0,20,773,GTB,7,1989
288,3,0,1,0,0,0,0,0,1,751,GTB,9,2006
289,4,0,0,0,0,0,0,0,0,751,GTB,9,2006
290,12,0,0,0,1,0,0,0,1,751,GTB,9,2006
291,15,0,0,0,0,0,0,0,0,751,GTB,9,2006
292,18,0,0,0,0,0,0,0,0,751,GTB,9,2006
293,22,0,1,0,0,0,1,0,2,751,GTB,9,2006
294,33,0,0,0,0,0,0,0,0,751,GTB,9,2006
295,Total,0,2,0,1,0,1,0,4,751,GTB,9,2006
296,3,1,0,0,0,0,0,0,1,775,GTB,7,1998
297,4,1,1,0,0,1,0,0,3,775,GTB,7,1998
298,12,0,1,0,0,0,0,0,1,775,GTB,7,1998
299,15,0,2,0,2,0,0,0,4,775,GTB,7,1998
300,18,0,0,0,0,0,0,0,0,775,GTB,7,1998
301,22,0,0,0,0,0,0,0,0,775,GTB,7,1998
302,33,0,0,0,0,0,0,0,0,775,GTB,7,1998
303,Total,2,4,0,2,1,0,0,9,775,GTB,7,1998
304,3,0,0,0,0,0,0,0,0,755,GTB,5,2012
305,4,2,86,1,12,0,0,0,101,755,GTB,5,2012
306,12,0,0,1,1,0,1,0,3,755,GTB,5,2012
307,15,0,14,0,22,0,6,0,42,755,GTB,5,2012
308,18,1,1,0,2,0,1,0,5,755,GTB,5,2012
309,22,0,0,0,1,0,4,0,5,755,GTB,5,2012
310,33,1,1,0,0,0,0,1,3,755,GTB,5,2012
311,Total,4,102,2,38,0,12,1,159,755,GTB,5,2012
312,3,0,1,0,1,0,0,0,2,752,GTB,9,1997
313,4,1,37,4,7,0,1,0,50,752,GTB,9,1997
314,12,0,0,0,0,0,0,0,0,752,GTB,9,1997
