,classes,3,4,12,21,22,33,Total,bacia,model,version,year
349,Total,0,101,0,31,0,0,132,7614,SpatialV3su,36,1989
350,3,0,6,0,4,0,0,10,76111,SpatialV3su,36,1999
351,4,0,18,1,20,0,0,39,76111,SpatialV3su,36,1999
352,12,0,0,0,0,0,0,0,76111,SpatialV3su,36,1999
353,21,0,20,0,116,1,0,137,76111,SpatialV3su,36,1999
354,22,0,1,1,2,0,0,4,76111,SpatialV3su,36,1999
355,33,0,1,0,0,0,2,3,76111,SpatialV3su,36,1999
356,Total,0,46,2,142,1,2,193,76111,SpatialV3su,36,1999
357,3,18,10,0,1,0,0,29,753,SpatialV3su,36,2021
358,4,54,250,1,27,0,0,332,753,SpatialV3su,36,2021
359,12,0,8,0,2,0,0,10,753,SpatialV3su,36,2021
360,21,22,44,1,32,3,0,102,753,SpatialV3su,36,2021
361,22,1,2,3,6,7,0,19,753,SpatialV3su,36,2021
362,33,3,6,0,4,0,6,19,753,SpatialV3su,36,2021
363,Total,98,320,5,72,10,6,511,753,SpatialV3su,36,2021
364,3,2,4,0,1,0,0,7,757,SpatialV3su,36,2019
365,4,1,108,0,36,0,0,145,757,SpatialV3su,36,2019
366,12,0,0,0,2,0,0,2,757,SpatialV3su,36,2019
367,21,1,17,0,113,0,0,131,757,SpatialV3su,36,2019
368,22,0,1,0,2,0,0,3,757,SpatialV3su,36,2019
369,33,0,0,0,3,0,4,7,757,SpatialV3su,36,2019
370,Total,4,130,0,157,0,4,295,757,SpatialV3su,36,2019
371,3,0,3,0,0,0,0,3,752,SpatialV3su,36,1998
372,4,0,111,0,10,0,0,121,752,SpatialV3su,36,1998
373,12,0,2,0,2,0,0,4,752,SpatialV3su,36,1998
374,21,0,21,0,9,0,0,30,752,SpatialV3su,36,1998
375,22,0,1,0,3,0,0,4,752,SpatialV3su,36,1998
376,33,0,2,0,0,0,1,3,752,SpatialV3su,36,1998
377,Total,0,140,0,24,0,1,165,752,SpatialV3su,36,1998
378,3,0,1,0,0,0,0,1,7421,SpatialV3su,36,2022
379,4,0,64,0,8,0,0,72,7421,SpatialV3su,36,2022
380,12,0,0,0,2,0,0,2,7421,SpatialV3su,36,2022
381,21,0,9,1,4,0,0,14,7421,SpatialV3su,36,2022
382,22,0,0,0,0,0,0,0,7421,SpatialV3su,36,2022
383,33,0,0,0,0,0,0,0,7421,SpatialV3su,36,2022
384,Total,0,74,1,14,0,0,89,7421,SpatialV3su,36,2022
385,3,3,23,0,0,0,0,26,7622,SpatialV3su,36,2005
386,4,2,97,0,2,0,0,101,7622,SpatialV3su,36,2005
387,12,0,2,0,0,0,0,2,7622,SpatialV3su,36,2005
388,21,1,13,0,7,0,0,21,7622,SpatialV3su,36,2005
389,22,0,0,0,0,0,0,0,7622,SpatialV3su,36,2005
390,33,0,0,0,0,0,0,0,7622,SpatialV3su,36,2005
391,Total,6,135,0,9,0,0,150,7622,SpatialV3su,36,2005
392,3,0,0,0,0,0,0,0,7613,SpatialV3su,36,2004
393,4,1,115,1,32,0,0,149,7613,SpatialV3su,36,2004
394,12,0,1,0,16,0,0,17,7613,SpatialV3su,36,2004
395,21,0,14,0,10,0,0,24,7613,SpatialV3su,36,2004
