,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year
249,4,0,224,25,0,0,7,0,256,7619,toExport,9,1993
250,12,0,4,0,0,0,3,4,11,7619,toExport,9,1993
251,15,0,0,0,0,0,0,0,0,7619,toExport,9,1993
252,18,0,0,0,0,0,0,0,0,7619,toExport,9,1993
253,22,0,1,0,0,0,0,0,1,7619,toExport,9,1993
254,33,0,0,0,0,0,0,2,2,7619,toExport,9,1993
255,Total,0,234,26,0,0,10,6,276,7619,toExport,9,1993
256,3,1,1,0,0,0,0,0,2,771,toExport,5,1988
257,4,3,92,5,0,0,1,0,101,771,toExport,5,1988
258,12,0,1,0,0,0,0,0,1,771,toExport,5,1988
259,15,0,0,0,0,0,0,0,0,771,toExport,5,1988
260,18,0,0,0,0,0,0,0,0,771,toExport,5,1988
261,22,0,0,0,0,0,0,0,0,771,toExport,5,1988
262,33,0,0,0,0,0,0,0,0,771,toExport,5,1988
263,Total,4,94,5,0,0,1,0,104,771,toExport,5,1988
264,3,1,4,0,0,0,0,0,5,756,toExport,5,1995
265,4,9,157,24,0,0,1,1,192,756,toExport,5,1995
266,12,1,4,0,0,0,2,0,7,756,toExport,5,1995
267,15,0,0,0,0,0,0,0,0,756,toExport,5,1995
268,18,0,0,0,0,0,0,0,0,756,toExport,5,1995
269,22,0,0,3,0,0,3,0,6,756,toExport,5,1995
270,33,1,0,0,0,0,0,5,6,756,toExport,5,1995
271,Total,12,165,27,0,0,6,6,216,756,toExport,5,1995
272,3,1,1,0,0,0,0,0,2,775,toExport,9,2015
273,4,0,3,0,0,0,0,0,3,775,toExport,9,2015
274,12,0,0,0,0,0,1,0,1,775,toExport,9,2015
275,15,0,0,0,0,0,0,0,0,775,toExport,9,2015
276,18,0,0,0,0,0,0,0,0,775,toExport,9,2015
277,22,0,0,0,0,0,0,0,0,775,toExport,9,2015
278,33,0,0,0,0,0,0,0,0,775,toExport,9,2015
279,Total,1,4,0,0,0,1,0,6,775,toExport,9,2015
280,3,2,0,0,0,0,1,0,3,7612,toExport,5,1998
281,4,5,91,2,0,0,0,0,98,7612,toExport,5,1998
282,12,0,0,1,0,0,0,0,1,7612,toExport,5,1998
283,15,0,0,0,0,0,0,0,0,7612,toExport,5,1998
284,18,0,0,0,0,0,0,0,0,7612,toExport,5,1998
285,22,0,0,0,0,0,2,0,2,7612,toExport,5,1998
286,33,0,0,0,0,0,0,3,3,7612,toExport,5,1998
287,Total,7,91,3,0,0,3,3,107,7612,toExport,5,1998
288,3,0,3,0,0,0,0,0,3,756,toExport,9,2014
289,4,0,201,0,0,0,2,0,203,756,toExport,9,2014
290,12,0,2,0,0,0,2,0,4,756,toExport,9,2014
291,15,0,0,0,0,0,0,0,0,756,toExport,9,2014
292,18,0,0,0,0,0,0,0,0,756,toExport,9,2014
293,22,0,5,0,0,0,1,0,6,756,toExport,9,2014
294,33,0,2,0,0,0,1,4,7,756,toExport,9,2014
295,Total,0,213,0,0,0,6,4,223,756,toExport,9,2014
296,3,3,2,0,0,0,0,0,5,7742,toExport,5,1985
297,4,7,21,0,0,0,0,0,28,7742,toExport,5,1985
298,12,0,0,0,0,0,2,0,2,7742,toExport,5,1985
299,15,0,0,0,0,0,0,0,0,7742,toExport,5,1985
300,18,0,0,0,0,0,0,0,0,7742,toExport,5,1985
301,22,0,0,0,0,0,1,0,1,7742,toExport,5,1985
302,33,0,0,0,0,0,0,0,0,7742,toExport,5,1985
303,Total,10,23,0,0,0,3,0,36,7742,toExport,5,1985
304,3,1,20,0,0,0,0,0,21,7622,toExport,9,2004
305,4,1,73,0,0,0,2,0,76,7622,toExport,9,2004
306,12,0,1,0,0,0,0,0,1,7622,toExport,9,2004
307,15,0,0,0,0,0,0,0,0,7622,toExport,9,2004
308,18,0,0,0,0,0,0,0,0,7622,toExport,9,2004
309,22,0,0,0,0,0,0,0,0,7622,toExport,9,2004
310,33,0,0,0,0,0,0,0,0,7622,toExport,9,2004
311,Total,2,94,0,0,0,2,0,98,7622,toExport,9,2004
312,3,0,6,1,0,0,0,0,7,7619,toExport,5,1985
313,4,4,229,24,0,0,4,0,261,7619,toExport,5,1985
314,12,0,3,0,0,0,3,3,9,7619,toExport,5,1985
315,15,0,0,0,0,0,0,0,0,7619,toExport,5,1985
316,18,0,0,0,0,0,0,0,0,7619,toExport,5,1985
317,22,0,1,0,0,0,0,0,1,7619,toExport,5,1985
318,33,0,0,0,0,0,0,2,2,7619,toExport,5,1985
319,Total,4,239,25,0,0,7,5,280,7619,toExport,5,1985
320,3,0,3,0,0,0,0,0,3,755,toExport,5,2011
