,classes,3,4,12,15,18,22,27,33,Total,bacia,model,version,year
223,33,0,1,3,0,0,0,0,0,4,751,Spatial,9,1994
224,Total,0,183,9,0,0,7,0,0,199,751,Spatial,9,1994
225,3,4,3,0,0,0,0,0,0,7,745,Spatial,10,2012
226,4,16,33,0,0,0,3,0,0,52,745,Spatial,10,2012
227,12,0,0,0,0,0,1,0,0,1,745,Spatial,10,2012
228,15,0,0,0,0,0,0,0,0,0,745,Spatial,10,2012
229,18,0,0,0,0,0,0,0,0,0,745,Spatial,10,2012
230,22,0,0,0,0,0,0,0,0,0,745,Spatial,10,2012
231,27,0,0,0,0,0,0,0,0,0,745,Spatial,10,2012
232,33,0,0,0,0,0,0,0,0,0,745,Spatial,10,2012
233,Total,20,36,0,0,0,4,0,0,60,745,Spatial,10,2012
234,3,3,18,0,0,0,0,0,0,21,7622,Spatial,10,2021
235,4,2,79,0,0,0,0,0,0,81,7622,Spatial,10,2021
236,12,0,2,0,0,0,0,0,0,2,7622,Spatial,10,2021
237,15,0,0,0,0,0,0,0,0,0,7622,Spatial,10,2021
238,18,0,0,0,0,0,0,0,0,0,7622,Spatial,10,2021
239,22,0,0,0,0,0,0,0,0,0,7622,Spatial,10,2021
240,27,0,0,0,0,0,0,0,0,0,7622,Spatial,10,2021
241,33,0,0,0,0,0,0,0,0,0,7622,Spatial,10,2021
242,Total,5,99,0,0,0,0,0,0,104,7622,Spatial,10,2021
243,3,3,9,0,0,0,0,0,0,12,766,Spatial,10,1995
244,4,0,78,0,0,0,2,0,0,80,766,Spatial,10,1995
245,12,0,3,0,0,0,1,0,0,4,766,Spatial,10,1995
246,15,0,0,0,0,0,0,0,0,0,766,Spatial,10,1995
247,18,0,0,0,0,0,0,0,0,0,766,Spatial,10,1995
248,22,0,1,0,0,0,1,0,0,2,766,Spatial,10,1995
249,27,0,0,0,0,0,0,0,0,0,766,Spatial,10,1995
250,33,0,0,0,0,0,0,0,2,2,766,Spatial,10,1995
251,Total,3,91,0,0,0,4,0,2,100,766,Spatial,10,1995
252,3,0,14,0,0,0,0,0,0,14,765,Spatial,10,2010
253,4,0,86,0,0,0,0,0,0,86,765,Spatial,10,2010
254,12,0,0,0,0,0,0,0,0,0,765,Spatial,10,2010
255,15,0,0,0,0,0,0,0,0,0,765,Spatial,10,2010
256,18,0,0,0,0,0,0,0,0,0,765,Spatial,10,2010
257,22,0,1,0,0,0,4,0,0,5,765,Spatial,10,2010
258,27,0,0,0,0,0,0,0,0,0,765,Spatial,10,2010
259,33,0,1,0,0,0,0,0,1,2,765,Spatial,10,2010
260,Total,0,102,0,0,0,4,0,1,107,765,Spatial,10,2010
261,3,0,0,0,0,0,0,0,0,0,7614,Spatial,5,1989
262,4,15,75,0,0,0,0,0,0,90,7614,Spatial,5,1989
263,12,0,0,0,0,0,0,0,0,0,7614,Spatial,5,1989
264,15,0,0,0,0,0,0,0,0,0,7614,Spatial,5,1989
265,18,0,0,0,0,0,0,0,0,0,7614,Spatial,5,1989
266,22,0,0,0,0,0,0,0,0,0,7614,Spatial,5,1989
267,27,0,0,0,0,0,1,0,0,1,7614,Spatial,5,1989
268,33,0,0,0,0,0,0,0,0,0,7614,Spatial,5,1989
269,Total,15,75,0,0,0,1,0,0,91,7614,Spatial,5,1989
270,3,3,4,0,0,0,0,0,0,7,767,Spatial,5,1997
271,4,10,35,0,0,0,1,0,0,46,767,Spatial,5,1997
272,12,0,0,0,0,0,0,0,0,0,767,Spatial,5,1997
273,15,0,0,0,0,0,0,0,0,0,767,Spatial,5,1997
274,18,0,0,0,0,0,0,0,0,0,767,Spatial,5,1997
275,22,0,0,0,0,0,1,0,0,1,767,Spatial,5,1997
276,27,0,0,0,0,0,0,0,0,0,767,Spatial,5,1997
277,33,0,0,0,0,0,0,0,0,0,767,Spatial,5,1997
278,Total,13,39,0,0,0,2,0,0,54,767,Spatial,5,1997
279,3,0,10,0,0,0,0,0,0,10,766,Spatial,9,1999
280,4,0,84,0,0,0,1,0,0,85,766,Spatial,9,1999
281,12,0,4,0,0,0,0,0,0,4,766,Spatial,9,1999
282,15,0,0,0,0,0,0,0,0,0,766,Spatial,9,1999
283,18,0,0,0,0,0,0,0,0,0,766,Spatial,9,1999
284,22,0,1,0,0,0,1,0,0,2,766,Spatial,9,1999
285,27,0,0,0,0,0,0,0,0,0,766,Spatial,9,1999
286,33,0,0,0,0,0,0,0,2,2,766,Spatial,9,1999
287,Total,0,99,0,0,0,2,0,2,103,766,Spatial,9,1999
288,3,6,2,0,0,0,0,0,0,8,772,Spatial,10,2003
289,4,19,112,0,0,0,3,0,0,134,772,Spatial,10,2003
290,12,0,1,0,0,0,0,0,0,1,772,Spatial,10,2003
291,15,0,0,0,0,0,0,0,0,0,772,Spatial,10,2003
292,18,0,0,0,0,0,0,0,0,0,772,Spatial,10,2003
293,22,0,0,0,0,0,0,0,0,0,772,Spatial,10,2003
294,27,0,0,0,0,0,0,0,0,0,772,Spatial,10,2003
295,33,0,1,0,0,0,0,0,0,1,772,Spatial,10,2003
296,Total,25,116,0,0,0,3,0,0,144,772,Spatial,10,2003
297,3,1,4,0,0,0,0,0,0,5,756,Spatial,5,1993
298,4,13,166,18,0,0,8,0,0,205,756,Spatial,5,1993
299,12,0,4,1,0,0,2,0,0,7,756,Spatial,5,1993
300,15,0,0,0,0,0,0,0,0,0,756,Spatial,5,1993
301,18,0,0,0,0,0,0,0,0,0,756,Spatial,5,1993
302,22,0,2,1,0,0,4,0,0,7,756,Spatial,5,1993
303,27,0,0,0,0,0,0,0,0,0,756,Spatial,5,1993
304,33,0,0,0,0,0,1,0,4,5,756,Spatial,5,1993
305,Total,14,176,20,0,0,15,0,4,229,756,Spatial,5,1993
306,3,1,2,0,0,0,0,0,0,3,76116,Spatial,5,1990
307,4,10,90,22,0,0,3,0,1,126,76116,Spatial,5,1990
308,12,0,1,1,0,0,1,0,0,3,76116,Spatial,5,1990
309,15,0,0,0,0,0,0,0,0,0,76116,Spatial,5,1990
310,18,0,0,0,0,0,0,0,0,0,76116,Spatial,5,1990
311,22,0,0,0,0,0,0,0,0,0,76116,Spatial,5,1990
312,27,0,2,0,0,0,0,0,0,2,76116,Spatial,5,1990
313,33,0,0,0,0,0,0,0,9,9,76116,Spatial,5,1990
314,Total,11,95,23,0,0,4,0,10,143,76116,Spatial,5,1990
315,3,2,2,0,0,0,0,0,0,4,7422,Spatial,5,2010
316,4,6,82,5,0,0,0,0,1,94,7422,Spatial,5,2010
317,12,0,1,0,0,0,1,0,0,2,7422,Spatial,5,2010
318,15,0,0,0,0,0,0,0,0,0,7422,Spatial,5,2010
319,18,0,0,0,0,0,0,0,0,0,7422,Spatial,5,2010
320,22,0,0,0,0,0,0,0,0,0,7422,Spatial,5,2010
321,27,0,0,0,0,0,0,0,0,0,7422,Spatial,5,2010
322,33,0,0,0,0,0,0,0,2,2,7422,Spatial,5,2010
323,Total,8,85,5,0,0,1,0,3,102,7422,Spatial,5,2010
324,3,25,6,0,0,0,0,0,0,31,753,Spatial,9,2022
325,4,104,224,2,0,0,4,0,0,334,753,Spatial,9,2022
326,12,1,5,0,0,0,1,0,0,7,753,Spatial,9,2022
327,15,0,0,0,0,0,0,0,0,0,753,Spatial,9,2022
328,18,0,0,0,0,0,0,0,0,0,753,Spatial,9,2022
329,22,4,3,2,0,0,12,0,0,21,753,Spatial,9,2022
330,27,0,1,0,0,0,0,0,0,1,753,Spatial,9,2022
331,33,5,5,1,0,0,0,0,11,22,753,Spatial,9,2022
332,Total,139,244,5,0,0,17,0,11,416,753,Spatial,9,2022
333,3,7,3,0,0,0,0,0,0,10,745,Spatial,9,2018
334,4,56,22,0,0,0,4,0,0,82,745,Spatial,9,2018
335,12,0,0,0,0,0,1,0,0,1,745,Spatial,9,2018
336,15,0,0,0,0,0,0,0,0,0,745,Spatial,9,2018
337,18,0,0,0,0,0,0,0,0,0,745,Spatial,9,2018
338,22,0,0,0,0,0,0,0,0,0,745,Spatial,9,2018
339,27,0,0,0,0,0,0,0,0,0,745,Spatial,9,2018
340,33,0,0,0,0,0,0,0,0,0,745,Spatial,9,2018
341,Total,63,25,0,0,0,5,0,0,93,745,Spatial,9,2018
342,3,2,1,0,0,0,0,0,0,3,771,Spatial,5,2017
343,4,7,82,15,0,0,0,0,0,104,771,Spatial,5,2017
344,12,0,3,1,0,0,0,0,0,4,771,Spatial,5,2017
345,15,0,0,0,0,0,0,0,0,0,771,Spatial,5,2017
346,18,0,0,0,0,0,0,0,0,0,771,Spatial,5,2017
347,22,0,0,0,0,0,1,0,0,1,771,Spatial,5,2017
348,27,0,0,0,0,0,0,0,0,0,771,Spatial,5,2017
349,33,0,0,0,0,0,0,0,1,1,771,Spatial,5,2017
350,Total,9,86,16,0,0,1,0,1,113,771,Spatial,5,2017
351,3,1,7,0,0,0,0,0,0,8,752,Spatial,9,2008
352,4,12,139,12,0,0,1,0,0,164,752,Spatial,9,2008
353,12,1,1,0,0,0,1,0,0,3,752,Spatial,9,2008
354,15,0,0,0,0,0,0,0,0,0,752,Spatial,9,2008
355,18,0,0,0,0,0,0,0,0,0,752,Spatial,9,2008
356,22,0,0,1,0,0,2,0,0,3,752,Spatial,9,2008
357,27,0,1,0,0,0,0,0,0,1,752,Spatial,9,2008
358,33,0,0,0,0,0,1,0,2,3,752,Spatial,9,2008
359,Total,14,148,13,0,0,5,0,2,182,752,Spatial,9,2008
360,3,0,9,0,0,0,0,0,0,9,76111,Spatial,5,2001
361,4,0,25,3,0,0,1,0,0,29,76111,Spatial,5,2001
362,12,0,0,0,0,0,0,0,0,0,76111,Spatial,5,2001
363,15,0,0,0,0,0,0,0,0,0,76111,Spatial,5,2001
364,18,0,0,0,0,0,0,0,0,0,76111,Spatial,5,2001
365,22,0,0,0,0,0,1,0,0,1,76111,Spatial,5,2001
366,27,0,0,0,0,0,0,0,0,0,76111,Spatial,5,2001
367,33,0,0,0,0,0,0,0,3,3,76111,Spatial,5,2001
368,Total,0,34,3,0,0,2,0,3,42,76111,Spatial,5,2001
369,3,0,7,0,0,0,0,0,1,8,757,Spatial,10,2020
370,4,0,143,6,0,0,2,0,0,151,757,Spatial,10,2020
371,12,0,1,2,0,0,1,0,0,4,757,Spatial,10,2020
372,15,0,0,0,0,0,0,0,0,0,757,Spatial,10,2020
373,18,0,0,0,0,0,0,0,0,0,757,Spatial,10,2020
374,22,0,0,1,0,0,0,0,0,1,757,Spatial,10,2020
375,27,0,0,0,0,0,0,0,0,0,757,Spatial,10,2020
376,33,0,1,1,0,0,0,0,4,6,757,Spatial,10,2020
377,Total,0,152,10,0,0,3,0,5,170,757,Spatial,10,2020
378,3,1,4,0,0,0,0,0,0,5,7619,Spatial,5,2022
379,4,5,209,38,0,0,9,0,0,261,7619,Spatial,5,2022
380,12,2,2,2,0,0,3,0,0,9,7619,Spatial,5,2022
381,15,0,0,0,0,0,0,0,0,0,7619,Spatial,5,2022
382,18,0,0,0,0,0,0,0,0,0,7619,Spatial,5,2022
383,22,1,0,0,0,0,0,0,0,1,7619,Spatial,5,2022
384,27,0,0,0,0,0,0,0,0,0,7619,Spatial,5,2022
385,33,0,0,0,0,0,0,0,1,1,7619,Spatial,5,2022
386,Total,9,215,40,0,0,12,0,1,277,7619,Spatial,5,2022
387,3,19,12,0,0,0,1,0,0,32,753,Spatial,5,2018
388,4,81,239,1,0,0,8,0,1,330,753,Spatial,5,2018
389,12,1,8,0,0,0,1,0,0,10,753,Spatial,5,2018
390,15,0,0,0,0,0,0,0,0,0,753,Spatial,5,2018
391,18,0,0,0,0,0,0,0,0,0,753,Spatial,5,2018
392,22,2,1,0,0,0,20,0,0,23,753,Spatial,5,2018
393,27,0,0,0,0,0,0,0,0,0,753,Spatial,5,2018
394,33,3,4,0,0,0,1,0,11,19,753,Spatial,5,2018
395,Total,106,264,1,0,0,31,0,12,414,753,Spatial,5,2018
396,3,2,3,0,0,0,0,0,0,5,752,Spatial,5,2011
397,4,30,77,1,0,0,0,0,0,108,752,Spatial,5,2011
398,12,2,0,0,0,0,1,0,0,3,752,Spatial,5,2011
399,15,0,0,0,0,0,0,0,0,0,752,Spatial,5,2011
400,18,0,0,0,0,0,0,0,0,0,752,Spatial,5,2011
401,22,0,1,0,0,0,2,0,0,3,752,Spatial,5,2011
402,27,0,0,0,0,0,0,0,0,0,752,Spatial,5,2011
