,classes,3,4,12,21,22,27,33,Total,bacia,model,version,year,15,18
228,22,3,21,10,26.0,1,0.0,1,62,Caatinga,RF,12,1989,,
229,27,8,8,5,24.0,0,0.0,0,45,Caatinga,RF,12,1989,,
230,33,6,7,16,7.0,1,0.0,75,112,Caatinga,RF,12,1989,,
231,Total,670,4477,609,2760.0,15,0.0,91,8622,Caatinga,RF,12,1989,,
232,3,4,4,0,1.0,0,0.0,0,9,759,RF,12,2017,,
233,4,2,23,6,26.0,0,0.0,0,57,759,RF,12,2017,,
234,12,0,0,0,0.0,0,0.0,0,0,759,RF,12,2017,,
235,21,6,20,14,64.0,0,0.0,0,104,759,RF,12,2017,,
236,22,0,0,4,1.0,0,0.0,0,5,759,RF,12,2017,,
237,27,0,0,0,0.0,0,0.0,0,0,759,RF,12,2017,,
238,33,0,1,0,0.0,0,0.0,0,1,759,RF,12,2017,,
239,Total,12,48,24,92.0,0,0.0,0,176,759,RF,12,2017,,
240,3,0,0,0,,0,,0,0,7742,RF,7,2012,0.0,0.0
241,4,0,0,0,,0,,0,0,7742,RF,7,2012,0.0,0.0
242,12,0,0,0,,0,,0,0,7742,RF,7,2012,0.0,0.0
243,15,0,0,1,,2,,0,5,7742,RF,7,2012,2.0,0.0
244,18,0,0,0,,0,,0,0,7742,RF,7,2012,0.0,0.0
245,22,0,0,0,,0,,0,0,7742,RF,7,2012,0.0,0.0
246,33,0,0,0,,0,,0,0,7742,RF,7,2012,0.0,0.0
247,Total,0,0,1,,2,,0,5,7742,RF,7,2012,2.0,0.0
248,3,5,9,0,,0,,0,14,763,RF,6,1999,0.0,0.0
249,4,13,87,8,,2,,0,126,763,RF,6,1999,16.0,0.0
250,12,0,2,4,,2,,0,9,763,RF,6,1999,1.0,0.0
251,15,0,14,5,,8,,0,98,763,RF,6,1999,71.0,0.0
252,18,0,0,0,,0,,0,0,763,RF,6,1999,0.0,0.0
253,22,0,0,1,,1,,0,2,763,RF,6,1999,0.0,0.0
254,33,0,0,0,,0,,1,1,763,RF,6,1999,0.0,0.0
255,Total,18,112,18,,13,,1,250,763,RF,6,1999,88.0,0.0
256,3,1,2,1,0.0,0,0.0,0,4,755,RF,5,2010,,
257,4,9,115,1,33.0,4,0.0,0,162,755,RF,5,2010,,
258,12,0,0,0,3.0,2,0.0,0,5,755,RF,5,2010,,
259,21,0,19,0,53.0,15,0.0,0,87,755,RF,5,2010,,
260,22,0,1,0,2.0,5,0.0,0,8,755,RF,5,2010,,
261,27,0,0,0,0.0,0,0.0,0,0,755,RF,5,2010,,
262,33,1,1,0,0.0,0,0.0,2,4,755,RF,5,2010,,
263,Total,11,138,2,91.0,26,0.0,2,270,755,RF,5,2010,,
264,3,0,0,0,0.0,0,0.0,0,0,7616,RF,11,1990,,
265,4,0,85,9,9.0,0,0.0,0,103,7616,RF,11,1990,,
266,12,0,0,1,2.0,0,0.0,0,3,7616,RF,11,1990,,
267,21,0,10,7,10.0,1,0.0,0,28,7616,RF,11,1990,,
268,22,0,0,0,0.0,0,0.0,0,0,7616,RF,11,1990,,
269,27,0,1,0,0.0,1,0.0,0,2,7616,RF,11,1990,,
270,33,0,0,0,0.0,0,0.0,0,0,7616,RF,11,1990,,
271,Total,0,96,17,21.0,2,0.0,0,136,7616,RF,11,1990,,
272,3,4,2,0,,0,,0,6,744,RF,6,2007,0.0,0.0
273,4,23,188,30,,1,,0,251,744,RF,6,2007,9.0,0.0
274,12,0,1,6,,3,,0,12,744,RF,6,2007,2.0,0.0
275,15,0,7,8,,7,,0,42,744,RF,6,2007,20.0,0.0
276,18,0,3,2,,0,,0,5,744,RF,6,2007,0.0,0.0
277,22,0,0,1,,0,,0,1,744,RF,6,2007,0.0,0.0
278,33,0,1,0,,0,,0,1,744,RF,6,2007,0.0,0.0
279,Total,27,202,47,,11,,0,318,744,RF,6,2007,31.0,0.0
280,3,0,1,0,,0,,0,1,7619,RF,7,2006,0.0,0.0
281,4,5,19,3,,0,,0,34,7619,RF,7,2006,7.0,0.0
282,12,0,0,0,,0,,0,1,7619,RF,7,2006,1.0,0.0
283,15,0,1,0,,0,,0,4,7619,RF,7,2006,1.0,2.0
284,18,0,0,0,,0,,0,0,7619,RF,7,2006,0.0,0.0
285,22,0,0,0,,0,,0,0,7619,RF,7,2006,0.0,0.0
286,33,0,0,0,,0,,0,0,7619,RF,7,2006,0.0,0.0
287,Total,5,21,3,,0,,0,40,7619,RF,7,2006,9.0,2.0
288,3,57,77,1,,1,,2,144,Caatinga,RF,6,1985,6.0,0.0
289,4,182,1588,237,,61,,11,2362,Caatinga,RF,6,1985,283.0,0.0
290,12,1,25,31,,18,,1,119,Caatinga,RF,6,1985,43.0,0.0
291,15,6,145,26,,65,,2,640,Caatinga,RF,6,1985,396.0,0.0
292,18,0,11,7,,3,,0,31,Caatinga,RF,6,1985,10.0,0.0
293,22,2,4,3,,8,,0,25,Caatinga,RF,6,1985,8.0,0.0
294,33,5,4,0,,2,,56,68,Caatinga,RF,6,1985,1.0,0.0
295,Total,253,1854,305,,158,,72,3389,Caatinga,RF,6,1985,747.0,0.0
296,3,0,0,0,,0,,0,0,7618,RF,6,1995,0.0,0.0
297,4,1,53,0,,1,,1,59,7618,RF,6,1995,3.0,0.0
298,12,0,1,0,,0,,0,1,7618,RF,6,1995,0.0,0.0
299,15,0,5,0,,0,,0,24,7618,RF,6,1995,19.0,0.0
300,18,0,0,0,,0,,0,0,7618,RF,6,1995,0.0,0.0
