,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year,27
160,Total,46,492,0,150,80,31,9,808,754,GTB,10,2020,0.0
161,3,1,1,0,0,0,0,0,2,741,GTB,10,2004,0.0
162,4,9,66,0,1,0,0,0,76,741,GTB,10,2004,0.0
163,12,0,0,0,4,0,0,0,4,741,GTB,10,2004,0.0
164,15,2,13,1,5,0,3,0,24,741,GTB,10,2004,0.0
165,18,0,1,0,0,0,1,0,2,741,GTB,10,2004,0.0
166,22,0,0,0,0,0,0,0,0,741,GTB,10,2004,0.0
167,27,0,0,0,0,0,0,0,0,741,GTB,10,2004,0.0
168,33,0,0,0,0,0,0,2,2,741,GTB,10,2004,0.0
169,Total,12,81,1,10,0,4,2,110,741,GTB,10,2004,0.0
170,3,0,0,0,0,0,0,0,0,773,GTB,10,2007,0.0
171,4,0,4,0,0,0,1,0,5,773,GTB,10,2007,0.0
172,12,0,0,0,0,0,0,1,1,773,GTB,10,2007,0.0
173,15,0,8,1,27,0,1,1,38,773,GTB,10,2007,0.0
174,18,0,0,0,0,0,0,0,0,773,GTB,10,2007,0.0
175,22,0,1,0,1,0,0,0,3,773,GTB,10,2007,1.0
176,27,0,0,0,0,0,0,0,0,773,GTB,10,2007,0.0
177,33,0,0,0,0,0,0,0,0,773,GTB,10,2007,0.0
178,Total,0,13,1,28,0,2,2,47,773,GTB,10,2007,1.0
179,3,1,1,0,0,0,0,0,2,76116,GTB,10,2020,0.0
180,4,5,97,8,31,0,0,0,141,76116,GTB,10,2020,0.0
181,12,0,1,0,1,0,1,0,3,76116,GTB,10,2020,0.0
182,15,0,31,9,44,0,10,0,94,76116,GTB,10,2020,0.0
183,18,0,3,0,1,0,1,0,5,76116,GTB,10,2020,0.0
184,22,0,0,0,0,0,1,0,1,76116,GTB,10,2020,0.0
185,27,0,0,0,0,0,0,0,0,76116,GTB,10,2020,0.0
186,33,0,0,0,0,0,0,9,9,76116,GTB,10,2020,0.0
187,Total,6,133,17,77,0,13,9,255,76116,GTB,10,2020,0.0
188,3,1,1,0,0,0,0,0,2,745,GTB,7,2019,
189,4,1,26,0,0,0,1,0,28,745,GTB,7,2019,
190,12,0,0,0,0,0,0,0,0,745,GTB,7,2019,
191,15,0,1,0,0,0,0,0,1,745,GTB,7,2019,
192,18,0,0,0,0,0,0,0,0,745,GTB,7,2019,
193,22,0,0,0,0,0,0,0,0,745,GTB,7,2019,
194,33,0,0,0,0,0,0,0,0,745,GTB,7,2019,
195,Total,2,28,0,0,0,1,0,31,745,GTB,7,2019,
196,3,15,6,0,0,0,0,0,21,746,GTB,6,2013,
197,4,14,48,11,6,0,0,0,79,746,GTB,6,2013,
198,12,0,0,0,0,0,0,0,0,746,GTB,6,2013,
199,15,0,0,4,0,0,2,0,6,746,GTB,6,2013,
200,18,0,0,0,0,0,0,0,0,746,GTB,6,2013,
201,22,0,1,0,0,0,1,0,2,746,GTB,6,2013,
202,33,0,0,0,0,0,0,0,0,746,GTB,6,2013,
