,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year
212,18,0,0,0,0,0,0,0,0,745,RF,5,2015
213,22,0,0,0,0,0,0,0,0,745,RF,5,2015
214,33,0,0,0,0,0,0,0,0,745,RF,5,2015
215,Total,21,8,1,0,0,1,0,31,745,RF,5,2015
216,3,1,0,0,0,0,0,0,1,751,RF,6,2017
217,4,0,0,0,0,0,0,0,0,751,RF,6,2017
218,12,0,1,0,0,0,0,0,1,751,RF,6,2017
219,15,0,0,0,0,0,0,0,0,751,RF,6,2017
220,18,0,0,0,0,0,0,0,0,751,RF,6,2017
221,22,0,1,0,0,0,1,0,2,751,RF,6,2017
222,33,0,0,0,0,0,0,0,0,751,RF,6,2017
223,Total,1,2,0,0,0,1,0,4,751,RF,6,2017
224,3,0,1,0,0,0,0,0,1,755,RF,7,2001
225,4,6,61,8,3,21,0,0,99,755,RF,7,2001
226,12,0,0,2,0,1,0,0,3,755,RF,7,2001
227,15,0,10,7,11,14,2,0,44,755,RF,7,2001
228,18,0,0,0,0,4,0,0,4,755,RF,7,2001
229,22,0,1,2,1,0,1,0,5,755,RF,7,2001
230,33,1,0,0,0,1,0,1,3,755,RF,7,2001
231,Total,7,73,19,15,41,3,1,159,755,RF,7,2001
232,3,4,4,0,0,0,0,0,8,7741,RF,5,2001
233,4,7,29,4,5,0,0,0,45,7741,RF,5,2001
234,12,0,3,0,0,0,0,0,3,7741,RF,5,2001
235,15,0,11,0,12,0,1,0,24,7741,RF,5,2001
236,18,0,0,0,0,0,0,0,0,7741,RF,5,2001
237,22,0,0,1,0,0,0,0,1,7741,RF,5,2001
238,33,0,0,0,0,0,0,0,0,7741,RF,5,2001
239,Total,11,47,5,17,0,1,0,81,7741,RF,5,2001
240,3,0,4,0,2,0,0,0,6,767,RF,7,1986
241,4,1,22,2,21,0,0,0,46,767,RF,7,1986
242,12,0,1,0,0,0,0,0,1,767,RF,7,1986
243,15,0,6,0,23,0,3,0,32,767,RF,7,1986
244,18,0,0,0,0,0,0,0,0,767,RF,7,1986
245,22,0,0,0,0,0,0,0,0,767,RF,7,1986
246,33,0,0,0,0,0,0,0,0,767,RF,7,1986
247,Total,1,33,2,46,0,3,0,85,767,RF,7,1986
248,3,1,2,0,0,0,0,0,3,76111,RF,5,2022
249,4,0,9,0,5,0,0,0,14,76111,RF,5,2022
250,12,0,0,0,0,0,0,0,0,76111,RF,5,2022
