,classes,3,4,12,15,18,22,27,33,Total,bacia,model,version,year
209,12,0,8,2,0,0,0,0,0,10,7741,Gap-fill,5,1989
210,15,0,0,0,0,0,0,0,0,0,7741,Gap-fill,5,1989
211,18,0,0,0,0,0,0,0,0,0,7741,Gap-fill,5,1989
212,22,0,1,0,0,0,0,0,0,1,7741,Gap-fill,5,1989
213,27,2,5,0,0,0,0,0,0,7,7741,Gap-fill,5,1989
214,33,0,0,0,0,0,0,0,0,0,7741,Gap-fill,5,1989
215,Total,64,133,10,0,0,2,0,1,210,7741,Gap-fill,5,1989
216,3,2,2,0,0,0,0,0,0,4,7422,Gap-fill,5,2020
217,4,4,85,27,0,0,2,0,1,119,7422,Gap-fill,5,2020
218,12,0,1,1,0,0,1,0,0,3,7422,Gap-fill,5,2020
219,15,0,0,0,0,0,0,0,0,0,7422,Gap-fill,5,2020
220,18,0,0,0,0,0,0,0,0,0,7422,Gap-fill,5,2020
221,22,0,0,0,0,0,0,0,0,0,7422,Gap-fill,5,2020
222,27,0,0,0,0,0,0,0,0,0,7422,Gap-fill,5,2020
223,33,0,0,0,0,0,0,0,4,4,7422,Gap-fill,5,2020
224,Total,6,88,28,0,0,3,0,5,130,7422,Gap-fill,5,2020
225,3,9,15,0,0,0,0,0,0,24,776,Gap-fill,5,2000
226,4,11,163,7,0,0,2,0,0,183,776,Gap-fill,5,2000
227,12,0,1,6,0,0,2,0,0,9,776,Gap-fill,5,2000
228,15,0,0,0,0,0,0,0,0,0,776,Gap-fill,5,2000
229,18,0,0,0,0,0,0,0,0,0,776,Gap-fill,5,2000
230,22,0,0,0,0,0,2,0,0,2,776,Gap-fill,5,2000
231,27,1,0,0,0,0,0,0,0,1,776,Gap-fill,5,2000
232,33,0,0,0,0,0,1,0,0,1,776,Gap-fill,5,2000
233,Total,21,179,13,0,0,7,0,0,220,776,Gap-fill,5,2000
234,3,135,235,5,0,0,7,0,0,382,Caatinga,Gap-fill,9,1989
235,4,446,4090,348,0,0,172,0,32,5088,Caatinga,Gap-fill,9,1989
236,12,7,52,48,0,0,46,0,3,156,Caatinga,Gap-fill,9,1989
237,15,0,0,0,0,0,0,0,0,0,Caatinga,Gap-fill,9,1989
238,18,0,0,0,0,0,0,0,0,0,Caatinga,Gap-fill,9,1989
239,22,4,22,7,0,0,51,0,3,87,Caatinga,Gap-fill,9,1989
240,27,2,23,5,0,0,2,0,0,32,Caatinga,Gap-fill,9,1989
241,33,5,8,8,0,0,4,0,103,128,Caatinga,Gap-fill,9,1989
242,Total,599,4430,421,0,0,282,0,141,5873,Caatinga,Gap-fill,9,1989
243,3,0,1,0,0,0,0,0,0,1,7421,Gap-fill,5,2002
244,4,1,60,1,0,0,0,0,0,62,7421,Gap-fill,5,2002
245,12,0,1,0,0,0,1,0,0,2,7421,Gap-fill,5,2002
246,15,0,0,0,0,0,0,0,0,0,7421,Gap-fill,5,2002
247,18,0,0,0,0,0,0,0,0,0,7421,Gap-fill,5,2002
248,22,0,0,0,0,0,0,0,0,0,7421,Gap-fill,5,2002
249,27,0,0,0,0,0,0,0,0,0,7421,Gap-fill,5,2002
250,33,0,0,0,0,0,0,0,0,0,7421,Gap-fill,5,2002
251,Total,1,62,1,0,0,1,0,0,65,7421,Gap-fill,5,2002
252,3,0,0,0,0,0,0,0,0,0,7616,Gap-fill,10,2013
253,4,0,73,14,0,0,8,0,0,95,7616,Gap-fill,10,2013
254,12,0,2,1,0,0,0,0,0,3,7616,Gap-fill,10,2013
255,15,0,0,0,0,0,0,0,0,0,7616,Gap-fill,10,2013
256,18,0,0,0,0,0,0,0,0,0,7616,Gap-fill,10,2013
257,22,0,0,0,0,0,0,0,0,0,7616,Gap-fill,10,2013
258,27,0,0,0,0,0,0,0,0,0,7616,Gap-fill,10,2013
259,33,0,0,0,0,0,0,0,0,0,7616,Gap-fill,10,2013
260,Total,0,75,15,0,0,8,0,0,98,7616,Gap-fill,10,2013
261,3,0,1,0,0,0,0,0,0,1,7421,Gap-fill,10,2006
262,4,2,54,1,0,0,0,0,0,57,7421,Gap-fill,10,2006
263,12,0,0,0,0,0,1,0,0,1,7421,Gap-fill,10,2006
264,15,0,0,0,0,0,0,0,0,0,7421,Gap-fill,10,2006
265,18,0,0,0,0,0,0,0,0,0,7421,Gap-fill,10,2006
266,22,0,0,0,0,0,0,0,0,0,7421,Gap-fill,10,2006
267,27,0,0,0,0,0,0,0,0,0,7421,Gap-fill,10,2006
268,33,0,0,0,0,0,0,0,0,0,7421,Gap-fill,10,2006
269,Total,2,55,1,0,0,1,0,0,59,7421,Gap-fill,10,2006
270,3,0,12,0,0,0,0,0,0,12,765,Gap-fill,9,1999
271,4,0,83,0,0,0,2,0,0,85,765,Gap-fill,9,1999
272,12,0,0,0,0,0,0,0,0,0,765,Gap-fill,9,1999
273,15,0,0,0,0,0,0,0,0,0,765,Gap-fill,9,1999
274,18,0,0,0,0,0,0,0,0,0,765,Gap-fill,9,1999
275,22,0,1,0,0,0,4,0,0,5,765,Gap-fill,9,1999
276,27,0,0,0,0,0,0,0,0,0,765,Gap-fill,9,1999
277,33,0,1,0,0,0,0,0,1,2,765,Gap-fill,9,1999
278,Total,0,97,0,0,0,6,0,1,104,765,Gap-fill,9,1999
279,3,7,1,0,0,0,0,0,0,8,745,Gap-fill,10,2022
280,4,25,26,0,0,0,2,0,0,53,745,Gap-fill,10,2022
281,12,0,0,0,0,0,1,0,0,1,745,Gap-fill,10,2022
282,15,0,0,0,0,0,0,0,0,0,745,Gap-fill,10,2022
283,18,0,0,0,0,0,0,0,0,0,745,Gap-fill,10,2022
284,22,0,0,0,0,0,0,0,0,0,745,Gap-fill,10,2022
285,27,0,0,0,0,0,0,0,0,0,745,Gap-fill,10,2022
286,33,0,0,0,0,0,0,0,0,0,745,Gap-fill,10,2022
287,Total,32,27,0,0,0,3,0,0,62,745,Gap-fill,10,2022
288,3,7,2,0,0,0,1,0,0,10,7742,Gap-fill,10,2014
289,4,6,22,0,0,0,0,0,0,28,7742,Gap-fill,10,2014
290,12,0,2,1,0,0,0,0,0,3,7742,Gap-fill,10,2014
291,15,0,0,0,0,0,0,0,0,0,7742,Gap-fill,10,2014
292,18,0,0,0,0,0,0,0,0,0,7742,Gap-fill,10,2014
293,22,0,1,0,0,0,1,0,0,2,7742,Gap-fill,10,2014
294,27,0,0,0,0,0,0,0,0,0,7742,Gap-fill,10,2014
295,33,0,0,0,0,0,0,0,0,0,7742,Gap-fill,10,2014
296,Total,13,27,1,0,0,2,0,0,43,7742,Gap-fill,10,2014
297,3,2,2,0,0,0,0,0,0,4,7422,Gap-fill,9,2008
298,4,8,67,7,0,0,2,0,0,84,7422,Gap-fill,9,2008
299,12,0,1,1,0,0,3,0,0,5,7422,Gap-fill,9,2008
300,15,0,0,0,0,0,0,0,0,0,7422,Gap-fill,9,2008
301,18,0,0,0,0,0,0,0,0,0,7422,Gap-fill,9,2008
302,22,0,0,0,0,0,0,0,0,0,7422,Gap-fill,9,2008
303,27,0,0,0,0,0,0,0,0,0,7422,Gap-fill,9,2008
304,33,0,0,0,0,0,0,0,3,3,7422,Gap-fill,9,2008
305,Total,10,70,8,0,0,5,0,3,96,7422,Gap-fill,9,2008
306,3,0,0,0,0,0,0,0,0,0,773,Gap-fill,9,2005
307,4,0,5,0,0,0,0,0,0,5,773,Gap-fill,9,2005
308,12,0,1,0,0,0,0,0,0,1,773,Gap-fill,9,2005
309,15,0,0,0,0,0,0,0,0,0,773,Gap-fill,9,2005
310,18,0,0,0,0,0,0,0,0,0,773,Gap-fill,9,2005
311,22,0,0,0,0,0,1,0,0,1,773,Gap-fill,9,2005
312,27,0,0,0,0,0,0,0,0,0,773,Gap-fill,9,2005
313,33,0,0,0,0,0,0,0,0,0,773,Gap-fill,9,2005
314,Total,0,6,0,0,0,1,0,0,7,773,Gap-fill,9,2005
315,3,5,5,0,0,0,1,0,0,11,7742,Gap-fill,9,1996
316,4,5,27,2,0,0,1,0,0,35,7742,Gap-fill,9,1996
317,12,0,2,0,0,0,1,0,0,3,7742,Gap-fill,9,1996
318,15,0,0,0,0,0,0,0,0,0,7742,Gap-fill,9,1996
319,18,0,0,0,0,0,0,0,0,0,7742,Gap-fill,9,1996
320,22,0,0,1,0,0,1,0,0,2,7742,Gap-fill,9,1996
321,27,0,1,0,0,0,0,0,0,1,7742,Gap-fill,9,1996
322,33,0,0,0,0,0,0,0,0,0,7742,Gap-fill,9,1996
323,Total,10,35,3,0,0,4,0,0,52,7742,Gap-fill,9,1996
324,3,2,12,0,0,0,0,0,0,14,765,Gap-fill,5,2009
325,4,0,85,3,0,0,0,0,1,89,765,Gap-fill,5,2009
326,12,0,0,0,0,0,0,0,0,0,765,Gap-fill,5,2009
327,15,0,0,0,0,0,0,0,0,0,765,Gap-fill,5,2009
328,18,0,0,0,0,0,0,0,0,0,765,Gap-fill,5,2009
329,22,0,1,1,0,0,3,0,0,5,765,Gap-fill,5,2009
330,27,0,0,0,0,0,0,0,0,0,765,Gap-fill,5,2009
331,33,1,0,0,0,0,0,0,1,2,765,Gap-fill,5,2009
332,Total,3,98,4,0,0,3,0,2,110,765,Gap-fill,5,2009
333,3,6,1,0,0,0,0,0,0,7,745,Gap-fill,10,1998
334,4,26,19,0,0,0,2,0,0,47,745,Gap-fill,10,1998
335,12,0,0,0,0,0,0,0,0,0,745,Gap-fill,10,1998
336,15,0,0,0,0,0,0,0,0,0,745,Gap-fill,10,1998
337,18,0,0,0,0,0,0,0,0,0,745,Gap-fill,10,1998
338,22,0,0,0,0,0,0,0,0,0,745,Gap-fill,10,1998
339,27,0,0,0,0,0,0,0,0,0,745,Gap-fill,10,1998
340,33,0,0,0,0,0,0,0,0,0,745,Gap-fill,10,1998
341,Total,32,20,0,0,0,2,0,0,54,745,Gap-fill,10,1998
342,3,0,0,0,0,0,0,0,0,0,7617,Gap-fill,9,2003
343,4,0,118,10,0,0,1,0,1,130,7617,Gap-fill,9,2003
344,12,0,1,1,0,0,3,0,1,6,7617,Gap-fill,9,2003
345,15,0,0,0,0,0,0,0,0,0,7617,Gap-fill,9,2003
346,18,0,0,0,0,0,0,0,0,0,7617,Gap-fill,9,2003
347,22,0,0,0,0,0,2,0,1,3,7617,Gap-fill,9,2003
348,27,0,0,0,0,0,0,0,0,0,7617,Gap-fill,9,2003
349,33,0,0,1,0,0,0,0,26,27,7617,Gap-fill,9,2003
350,Total,0,119,12,0,0,6,0,29,166,7617,Gap-fill,9,2003
351,3,1,1,0,0,0,0,0,0,2,741,Gap-fill,9,2010
352,4,24,50,0,0,0,0,0,0,74,741,Gap-fill,9,2010
353,12,0,1,1,0,0,0,0,0,2,741,Gap-fill,9,2010
354,15,0,0,0,0,0,0,0,0,0,741,Gap-fill,9,2010
355,18,0,0,0,0,0,0,0,0,0,741,Gap-fill,9,2010
356,22,0,0,0,0,0,0,0,0,0,741,Gap-fill,9,2010
357,27,0,0,0,0,0,0,0,0,0,741,Gap-fill,9,2010
358,33,0,0,0,0,0,0,0,2,2,741,Gap-fill,9,2010
359,Total,25,52,1,0,0,0,0,2,80,741,Gap-fill,9,2010
360,3,6,12,0,0,0,0,0,0,18,763,Gap-fill,5,2013
361,4,25,160,9,0,0,0,0,0,194,763,Gap-fill,5,2013
362,12,0,3,5,0,0,1,0,0,9,763,Gap-fill,5,2013
363,15,0,0,0,0,0,0,0,0,0,763,Gap-fill,5,2013
364,18,0,0,0,0,0,0,0,0,0,763,Gap-fill,5,2013
365,22,0,2,1,0,0,1,0,0,4,763,Gap-fill,5,2013
366,27,0,0,0,0,0,0,0,0,0,763,Gap-fill,5,2013
367,33,1,0,0,0,0,0,0,2,3,763,Gap-fill,5,2013
368,Total,32,177,15,0,0,2,0,2,228,763,Gap-fill,5,2013
369,3,0,1,0,0,0,0,0,0,1,758,Gap-fill,5,2022
370,4,2,79,0,0,0,1,0,0,82,758,Gap-fill,5,2022
371,12,0,2,0,0,0,1,0,0,3,758,Gap-fill,5,2022
372,15,0,0,0,0,0,0,0,0,0,758,Gap-fill,5,2022
373,18,0,0,0,0,0,0,0,0,0,758,Gap-fill,5,2022
374,22,0,0,0,0,0,2,0,0,2,758,Gap-fill,5,2022
375,27,0,2,0,0,0,1,0,0,3,758,Gap-fill,5,2022
376,33,0,1,0,0,0,3,0,0,4,758,Gap-fill,5,2022
377,Total,2,85,0,0,0,8,0,0,95,758,Gap-fill,5,2022
