,area,classe,year,Colacao,Bacia,cobertura,cob_level1,cob_color,nat_color,total
1074,1556391.097475996,4,1986,Col80,772,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1075,27279.688446053027,12,1986,Col80,772,Grassland,Natural,#d6bc74,#32a65e,cobertura
1076,1740982.4110839076,21,1986,Col80,772,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
1077,9694.236320975517,22,1986,Col80,772,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
1078,19418.149518030787,29,1986,Col80,772,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
1079,5522.369614724327,33,1986,Col80,772,Water,Natural,#112013,#32a65e,cobertura
1080,131502.17751164647,3,1987,Col80,772,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1081,1577232.231280524,4,1987,Col80,772,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1082,14051.27342999596,12,1987,Col80,772,Grassland,Natural,#d6bc74,#32a65e,cobertura
1083,1733660.890607318,21,1987,Col80,772,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
1084,7410.596271456506,22,1987,Col80,772,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
1085,19424.10198506482,29,1987,Col80,772,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
1086,5406.631914556691,33,1987,Col80,772,Water,Natural,#112013,#32a65e,cobertura
1087,134580.475904298,3,1988,Col80,772,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1088,1580307.2863855588,4,1988,Col80,772,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1089,9752.22333069998,12,1988,Col80,772,Grassland,Natural,#d6bc74,#32a65e,cobertura
1090,1732719.7224714437,21,1988,Col80,772,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
1091,6423.79750849788,22,1988,Col80,772,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
