,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year
207,Total,1,118,50,0,0,11,2,182,7615,Temporal,5,2006
208,3,7,6,0,0,0,0,0,13,776,Temporal,5,2006
209,4,8,133,7,0,0,0,1,149,776,Temporal,5,2006
210,12,0,0,8,0,0,1,0,9,776,Temporal,5,2006
211,15,0,0,0,0,0,0,0,0,776,Temporal,5,2006
212,18,0,0,0,0,0,0,0,0,776,Temporal,5,2006
213,22,0,0,2,0,0,0,0,2,776,Temporal,5,2006
214,33,0,0,0,0,0,0,1,1,776,Temporal,5,2006
215,Total,15,139,17,0,0,1,2,174,776,Temporal,5,2006
216,3,14,3,1,0,0,1,0,19,751,Temporal,5,1987
217,4,82,67,0,0,0,2,1,152,751,Temporal,5,1987
218,12,0,5,1,0,0,3,0,9,751,Temporal,5,1987
219,15,0,0,0,0,0,0,0,0,751,Temporal,5,1987
220,18,0,0,0,0,0,0,0,0,751,Temporal,5,1987
221,22,1,4,1,0,0,2,0,8,751,Temporal,5,1987
222,33,0,0,1,0,0,0,1,2,751,Temporal,5,1987
223,Total,97,79,4,0,0,8,2,190,751,Temporal,5,1987
224,3,7,1,0,0,0,0,0,8,772,Temporal,5,1991
225,4,13,112,5,0,0,1,2,133,772,Temporal,5,1991
226,12,0,1,0,0,0,0,0,1,772,Temporal,5,1991
227,15,0,0,0,0,0,0,0,0,772,Temporal,5,1991
228,18,0,0,0,0,0,0,0,0,772,Temporal,5,1991
229,22,0,0,0,0,0,1,0,1,772,Temporal,5,1991
230,33,0,0,0,0,0,0,0,0,772,Temporal,5,1991
231,Total,20,114,5,0,0,2,2,143,772,Temporal,5,1991
232,3,2,2,0,0,0,0,0,4,7742,Temporal,9,2015
233,4,1,18,0,0,0,0,0,19,7742,Temporal,9,2015
234,12,0,0,2,0,0,0,0,2,7742,Temporal,9,2015
235,15,0,0,0,0,0,0,0,0,7742,Temporal,9,2015
236,18,0,0,0,0,0,0,0,0,7742,Temporal,9,2015
237,22,0,0,0,0,0,1,0,1,7742,Temporal,9,2015
238,33,0,0,0,0,0,0,0,0,7742,Temporal,9,2015
239,Total,3,20,2,0,0,1,0,26,7742,Temporal,9,2015
240,3,3,8,1,0,0,0,1,13,744,Temporal,9,1986
241,4,23,463,25,0,0,3,1,515,744,Temporal,9,1986
242,12,0,4,9,0,0,2,0,15,744,Temporal,9,1986
243,15,0,0,0,0,0,0,0,0,744,Temporal,9,1986
244,18,0,0,0,0,0,0,0,0,744,Temporal,9,1986
245,22,0,1,0,0,0,1,0,2,744,Temporal,9,1986
